Resort ID,NameResort
492,. Leukerbad
493,glacier-3000-les-diablerets
494,wasserngrat-gstaad
495,tschiertschen
496,nara-leontica
497,mythenregion
498,la-berra-la-roche
499,cari
500,braunwald
501,bosco-gurin-grossalp
502,san-bernardino
503,pesciuem-airolo
504,nax-mont-noble
505,la-braye-chateau-doex
506,klewenalpstockhuette-beckenriedemmetten
507,kaisereggriggisalp-schwarzsee
508,jaun
509,evolene
510,brambrueeschdreibuendenstein-chur
511,wispile-gstaad
512,oeschinensee-kandersteg
513,moleson
514,marbach-marbachegg
515,giw-visperterminen
516,elsigen-metsch-frutigen
517,darlux-berguen
518,arolla
519,wiriehorn
520,unterbaech-brandalpginals
521,tschentenalp-adelboden
522,sattel-hochstuckli
523,sarn-heinzenberg
524,les-mossesla-lecherette
525,la-robella-buttes-val-de-travers
526,la-fouly
527,hochwang-goldgruben
528,champex-lac-orsieres
529,bugnenets-savagnieres-saint-imier
530,bivio
531,. Aela – Maloja
532,. Pontresina
533,aeschiried
534,alpe-di-neggia
535,alpsteinblick-gonten
536,amden
537,ardez
538,asp-densbueren
539,atzmaennig-goldingen
540,avers
541,axalp-ob-brienz
542,baeretswil
543,balmberg
544,bannalp-oberrickenbach
545,basse-ruche
546,bedea-novaggio
547,bennau-einsiedeln
548,bernina-heliski
549,biel-kinzig-buerglen
550,bildhaus-gommiswald-am-ricken
551,blatten-speicher
552,bottenwil-piz-graben
553,brot-plamboz
554,bruesti-attinghausen
555,brunni-engelberg
556,buegls-s-chanf
557,buendalift-davos
558,bumbach-schangnau
559,campo-blenio
560,cardadacimetta-orselina
561,casaccia
562,chapeau-rable-la-chaux-de-fonds
563,chuderhuesi-roethenbach
564,cioss-prato-bedretto
565,dalpe
566,degersheim-fuchsacker
567,dent-de-jaman-montreux
568,dent-de-vaulion-le-morez
569,dicki-weisslingen
570,dietikon
571,dreieck-glarus
572,ebenalp-horn-wasserauenschwende
573,egg-hallau
574,eggiwil-netschbuehl
575,eischoll
576,engi
577,engstligenalp-adelboden
578,eriz
579,espace-super-saint-bernard-bourg-st-pierre
580,faltschen-reichenbach
581,fanas
582,feldis
583,fideriser-heuberge-arflina
584,fischenthal-aurueti-oberegg
585,flensa-seewis
586,foehrlimatt-wegenstetten
587,friherrenberg-einsiedeln
588,gadmen
589,gaehwil
590,gais
591,gampluet
592,gantrisch-gurnigel
593,gfellen-entlebuch-finsterwald
594,ghoech
595,goldiwil-multenegg-heiligenschwendi
596,grand-val-oberdoerferberg
597,grenchenberg-grenchen
598,grimmialp
599,grub-kaien
