Resort ID,Resort Name,Continent,Country,State/Province
277,kirchdorflift-doren,Europe,Austria,Vorarlberg
278,kirchschlag-bei-linz,Europe,Austria,Upper Austria (Oberosterreich)
279,kleinlobming,Europe,Austria,Styria (Steiermark)
280,kluglifte-hebalm-rettenbach-deutschlandsberg,Europe,Austria,Styria (Steiermark)
281,knittellifte-elbigenalp,Europe,Austria,Tyrol (Tirol)
282,koenigsberg-hollenstein-an-der-ybbs,Europe,Austria,Lower Austria (Niederosterreich)
283,koenigswiesen,Europe,Austria,Upper Austria (Oberosterreich)
284,koetschach-mauthen-vorhegg,Europe,Austria,Carinthia (Karnten)
285,kohleck-waldzell,Europe,Austria,Upper Austria (Oberosterreich)
286,kolsassberg,Europe,Austria,Tyrol (Tirol)
287,konradshuettle-vils,Europe,Austria,Tyrol (Tirol)
288,koralpe,Europe,Austria,Carinthia (Karnten)
289,kraehenberg-sibratsgfaell,Europe,Austria,Vorarlberg
290,krinnenalpe-nesselwaengle,Europe,Austria,Tyrol (Tirol)
291,krippenstein-obertraun,Europe,Austria,Upper Austria (Oberosterreich)
292,kroessbach,Europe,Austria,Tyrol (Tirol)
293,kronberg-st-georgen-im-attergau,Europe,Austria,Upper Austria (Oberosterreich)
294,laerchenhof-erpfendorf,Europe,Austria,Tyrol (Tirol)
295,lainach-rangersdorf,Europe,Austria,Carinthia (Karnten)
296,lammeralm-langenwang,Europe,Austria,Styria (Steiermark)
297,lammertallift-annaberg-lungoetz,Europe,Austria,Salzburg (Salzburger Land)
298,lana-lift-anras,Europe,Austria,Tyrol (Tirol)
299,langkampfen,Europe,Austria,Tyrol (Tirol)
300,lechnerberg,Europe,Austria,Salzburg (Salzburger Land)
301,lengau,Europe,Austria,Salzburg (Salzburger Land)
302,lessach,Europe,Austria,Salzburg (Salzburger Land)
303,liebenau,Europe,Austria,Upper Austria (Oberosterreich)
304,maiszinken-lunz-am-see,Europe,Austria,Lower Austria (Niederosterreich)
305,maria-schmolln,Europe,Austria,Upper Austria (Oberosterreich)
306,mathon,Europe,Austria,Tyrol (Tirol)
307,millruette-goetzis,Europe,Austria,Vorarlberg
308,mitteldorflift-doellach-grosskirchheim,Europe,Austria,Carinthia (Karnten)
309,moenchdorf-koenigswiesen,Europe,Austria,Upper Austria (Oberosterreich)
310,moosberglift-weissenbach-am-lech,Europe,Austria,Tyrol (Tirol)
311,moosenlift-uttendorf,Europe,Austria,Salzburg (Salzburger Land)
312,moosetallift-leisach,Europe,Austria,Tyrol (Tirol)
313,muckenkogel-lilienfeld,Europe,Austria,Lower Austria (Niederosterreich)
314,muehldorf,Europe,Austria,Carinthia (Karnten)
315,muehlegglift-hopfgarten-in-defereggen,Europe,Austria,Tyrol (Tirol)
316,nagelkoepfl-piesendorf,Europe,Austria,Salzburg (Salzburger Land)
317,naggler-alm-techendorf-weissensee,Europe,Austria,Carinthia (Karnten)
318,navis,Europe,Austria,Tyrol (Tirol)
319,neuleutasch-leutasch,Europe,Austria,Tyrol (Tirol)
320,niederalpl-muerzsteg-neuberg-an-der-muerz,Europe,Austria,Styria (Steiermark)
321,niedere-andelsbuchbezau,Europe,Austria,Vorarlberg
322,niedernsill,Europe,Austria,Salzburg (Salzburger Land)
323,niederthai-umhausen,Europe,Austria,Tyrol (Tirol)
324,nocksteinlifte-koppl,Europe,Austria,Salzburg (Salzburger Land)
325,nussbaumerlifte-hof-bei-salzburg,Europe,Austria,Salzburg (Salzburger Land)
326,obdach,Europe,Austria,Styria (Steiermark)
327,oberaschenberg-neustift-im-muehlkreis,Europe,Austria,Upper Austria (Oberosterreich)
328,oberau-wildschoenau,Europe,Austria,Tyrol (Tirol)
329,oberneukirchen,Europe,Austria,Upper Austria (Oberosterreich)
330,obervellach,Europe,Austria,Carinthia (Karnten)
331,oberwaldlifte-faistenau,Europe,Austria,Salzburg (Salzburger Land)
332,oberzeiring-poelstal,Europe,Austria,Styria (Steiermark)
333,oswaldbauerlift-krieglach,Europe,Austria,Styria (Steiermark)
334,paluda-dalaas,Europe,Austria,Vorarlberg
335,patschalift-st-kathrein-am-offenegg,Europe,Austria,Styria (Steiermark)
336,peretseck-st-johann-am-walde,Europe,Austria,Upper Austria (Oberosterreich)
337,petersbruendl-st-michael-im-lungau,Europe,Austria,Salzburg (Salzburger Land)
338,pfaender-bregenz,Europe,Austria,Vorarlberg
339,pfaring-angerberg,Europe,Austria,Tyrol (Tirol)
340,pirstingerkogellift-sommeralm-hohenau-an-der-raab-passail,Europe,Austria,Styria (Steiermark)
341,platzhaus-leitn-stuhlfelden,Europe,Austria,Salzburg (Salzburger Land)
342,poelzl-lifte-kindberg,Europe,Austria,Styria (Steiermark)
343,postalm-am-wolfgangsee,Europe,Austria,Salzburg (Salzburger Land)
344,praegraten-am-grossvenediger,Europe,Austria,Tyrol (Tirol)
345,predigstuhl-bad-goisern-am-hallstaettersee,Europe,Austria,Upper Austria (Oberosterreich)
346,raggal,Europe,Austria,Vorarlberg
347,raml-molln,Europe,Austria,Upper Austria (Oberosterreich)
348,raunigwiese-kolbnitz-reisseck,Europe,Austria,Carinthia (Karnten)
349,raxalpe-reichenau-an-der-rax,Europe,Austria,Lower Austria (Niederosterreich)
350,reither-kogel-reith-im-alpbachtal,Europe,Austria,Tyrol (Tirol)
351,rettenbach-bernstein,Europe,Austria,Burgenland
352,rettenegg,Europe,Austria,Styria (Steiermark)
353,rieseralm-obdach,Europe,Austria,Styria (Steiermark)
354,roggenboden,Europe,Austria,Tyrol (Tirol)
355,rossbachlift-nassereith,Europe,Austria,Tyrol (Tirol)
356,rotecklift-tobadill,Europe,Austria,Tyrol (Tirol)
357,salzstiegl-hirschegg,Europe,Austria,Styria (Steiermark)
358,saualpe-eberstein,Europe,Austria,Carinthia (Karnten)
359,schattwaldzoeblen,Europe,Austria,Tyrol (Tirol)
360,schatzerlift-kirchberg,Europe,Austria,Tyrol (Tirol)
361,schleppe-alm-klagenfurt-am-woerthersee,Europe,Austria,Carinthia (Karnten)
362,schmiedhornlift-wald-faistenau,Europe,Austria,Salzburg (Salzburger Land)
363,schmolllifte-steinhaus-am-semmering,Europe,Austria,Styria (Steiermark)
364,schnee-erlebnisland-flattach,Europe,Austria,Carinthia (Karnten)
365,schneeerlebniswelt-seestadt-aspern-vienna,Europe,Austria,Vienna (Wien)
366,schneiderkopf-buch,Europe,Austria,Vorarlberg
367,schnifisberg-schnifis,Europe,Austria,Vorarlberg
368,schoenfeld-thomatal,Europe,Austria,Salzburg (Salzburger Land)
369,schorschi-lifte-st-georgen-am-walde,Europe,Austria,Upper Austria (Oberosterreich)
370,schuttannen-hohenems,Europe,Austria,Vorarlberg
371,schwabenbergarena-turnau,Europe,Austria,Styria (Steiermark)
372,schwannerlift-weerberg,Europe,Austria,Tyrol (Tirol)
373,schwoich,Europe,Austria,Tyrol (Tirol)
374,seeberg-seewiesen-turnau,Europe,Austria,Styria (Steiermark)
375,serles-mieders,Europe,Austria,Tyrol (Tirol)
376,siebenseelift-wildalpen,Europe,Austria,Styria (Steiermark)
377,silvretta-bielerhoehe-partenen,Europe,Austria,Vorarlberg
