Resort ID,Adult,Currency
1287,26.0,European Euro
1290,0.0,-
1291,11.0,European Euro
1293,14.0,European Euro
1294,21.0,European Euro
1296,0.0,-
1297,19.0,European Euro
1300,11.0,European Euro
1301,12.0,European Euro
1302,20.0,European Euro
1303,10.0,European Euro
1304,15.0,European Euro
1305,11.0,European Euro
1306,15.0,European Euro
1307,23.0,European Euro
1308,10.0,European Euro
1309,49.0,European Euro
1310,38.0,European Euro
1314,44.0,European Euro
1315,44.0,European Euro
1316,38.0,European Euro
1317,10.0,European Euro
1318,0.0,-
1319,26.0,European Euro
1320,33.0,European Euro
1321,24.0,European Euro
1322,35.0,European Euro
1323,27.0,European Euro
1324,25.0,European Euro
1325,20.0,European Euro
1326,40.0,European Euro
1327,30.0,European Euro
1328,38.0,European Euro
1329,25.0,European Euro
1330,34.0,European Euro
1331,25.0,European Euro
1332,0.0,-
1333,25.0,European Euro
1334,8.0,European Euro
1335,28.0,European Euro
1336,20.0,European Euro
1337,35.0,European Euro
1338,28.0,European Euro
1339,24.0,European Euro
1340,0.0,-
1341,22.0,European Euro
1342,15.0,European Euro
1343,38.0,European Euro
1344,25.0,European Euro
1346,38.0,European Euro
1347,27.0,European Euro
1348,26.0,European Euro
1349,25.0,European Euro
1350,35.0,European Euro
1351,26.0,European Euro
1352,0.0,-
1353,0.0,-
1354,34.0,European Euro
1355,35.0,European Euro
1356,24.0,European Euro
1357,0.0,-
1358,22.0,European Euro
1359,23.0,European Euro
1360,0.0,-
1361,32.0,European Euro
1362,0.0,-
1363,0.0,-
1364,0.0,-
1365,39.0,European Euro
1366,15.0,European Euro
1367,0.0,-
1368,0.0,-
1369,39.0,European Euro
1370,41.0,European Euro
1371,18.0,European Euro
1372,39.0,European Euro
1373,0.0,-
1374,25.0,European Euro
1375,29.0,European Euro
1376,32.0,European Euro
1377,19.0,European Euro
1378,35.0,European Euro
1379,28.0,European Euro
1380,27.0,European Euro
1381,39.0,European Euro
1382,23.0,European Euro
1383,30.0,European Euro
1384,0.0,-
1385,0.0,-
1386,37.0,European Euro
1387,34.0,European Euro
1388,25.0,European Euro
1389,0.0,-
1390,0.0,-
1391,34.0,European Euro
1392,39.0,European Euro
1393,0.0,-
1394,46.0,European Euro
1396,43.0,European Euro
1397,45.0,European Euro
1398,48.0,European Euro
1399,39.0,European Euro
1400,33.0,European Euro
1401,39.0,European Euro
1402,32.0,European Euro
1403,41.0,European Euro
1404,41.0,European Euro
1405,28.0,European Euro
1406,32.0,European Euro
1407,35.0,European Euro
1408,29.0,European Euro
1409,30.0,European Euro
1410,37.0,European Euro
1411,30.0,European Euro
1412,32.0,European Euro
1413,29.0,European Euro
1414,12.0,European Euro
1415,26.0,European Euro
1416,35.0,European Euro
1417,22.0,European Euro
1418,17.0,European Euro
1419,36.0,European Euro
1420,22.0,European Euro
1421,20.0,European Euro
1422,0.0,-
1423,0.0,-
1424,0.0,-
1425,0.0,-
1426,30.0,European Euro
